"Protect your account","Zabezpiecz konto Rublonem"
"Disable account protection","Wyłącz zabezpieczenie"

"Since your account is protected by a password only, it can be accessed from any device in the world. Rublon protects your account from sign ins from unknown devices, even if your password gets stolen.","Ponieważ Twoje konto jest chronione tylko hasłem, dostęp do niego jest możliwy z dowolnego urządzenia na świecie. Rublonem zabezpieczysz Twoje konto przed dostępem z nieznanych urządzeń, nawet w przypadku kradzieży hasła."
"<strong>Your account is protected by Rublon</strong>. It can be accessed from your Trusted Devices only.","<strong>Twoje konto jest zabezpieczone Rublonem.</strong> Dostęp do niego jest możliwy jedynie z Twoich Urządzeń Zaufanych."
"Learn more at <a href='http://rublon.com' target='_blank'>www.rublon.com</a>.","Dowiedz się więcej: <a href='http://rublon.com/pl/' target='_blank'>www.rublon.com/pl/</a>."
"Your account is now protected by Rublon.","Twoje konto jest teraz zabezpieczone Rublonem."
"Your account is protected by Rublon","Twoje konto jest zabezpieczone Rublonem"
"Rublon protection has been disabled. You are now protected by a password only, which may result in unauthorized access to your account. We strongly encourage you to protect your account with Rublon.","Zabezpieczenie Rublonem zostało wyłączone. Chroni Cię już tylko hasło, co może doprowadzić do nieautoryzowanego dostępu do Twojego konta. Zdecydowanie zalecamy zabezpieczyć konto Rublonem."
"Rublon will be available to you once your administrator protects his account.","Będziesz mógł skorzystać z Rublona, kiedy administrator zabezpieczy swoje konto."

"Before any of your users will be able to use Rublon, you or another administrator needs to protect his account first.","Zanim którykolwiek z Twoich użytkowników będzie mógł korzystać z Rublona, Ty lub inny administrator musi najpierw zabezpieczyć swoje konto."
"Rublon mobile app required:","Wymagana aplikacja Rublon:"
"Free Download","Pobierz za darmo"
"If you leave &quot;system token&quot; or &quot;secret key&quot; empty this disables Rublon.","Jeśli pozostawisz token systemowy lub klucz poufny pusty, Rublon zostanie wyłączony."
"Rublon protects your account from sign ins from unknown devices, even if your password gets stolen. It's a totally seamless way of securing your online accounts and the easiest two-factor authentication solution in the world.","Rublonem zabezpieczysz Twoje konto przed dostępem z nieznanych urządzeń, nawet w przypadku kradzieży hasła. To całkowicie niezauważalny sposób zabezpieczania Twoich kont internetowych i najłatwiejsze rozwiązanie dwuskładnikowego uwierzytelniania na świecie."
"Find out more:","Dowiedz się więcej:"
"Rublon is active.","Rublon jest aktywny."
"Your account is not protected by Rublon yet. Go to My Account page and protect it.","Twoje konto nie jest jeszcze zabezpieczone Rublonem. Przejdź do swojego profilu i zabezpiecz je teraz."
"Your account is protected by Rublon.","Twoje konto jest zabezpieczone Rublonem."
"www.rublon.com","www.rublon.com/pl"
"The API Settings will be filled out automatically.","Aby korzystać z rozszerzenia, musisz najpierw uaktywnić Rublona dla Twojej instalacji WordPress. Kliknij w przycisk poniżej:"
"If you already have a System Token and Secret Key, please enter them below.","Jeżeli posiadasz już System Token oraz Secret Key, wprowadź je poniżej."
"Rublon activation failed. Please try again. Should the error occur again, contact us at <a href='mailto:support@rublon.com'>support@rublon.com</a>.","Aktywacja Rublona nie powiodła się. Spróbuj ponownie. Jeśli błąd się powtórzy, skontaktuj się z nami na <a href='mailto:support@rublon.com'>support@rublon.com</a>."
"Thank you! Now all of your users can protect their accounts with Rublon.","Dziękujemy! Teraz wszyscy Twoi użytkownicy mogą zabezpieczyć swoje konta Rublonem."

"Rublon is a tokenless two-factor authentication mechanism. Learn more at <a href='https://rublon.com/' target='_blank'>www.rublon.com</a>.","Rublon to beztokenowy mechanizm dwuskładnikowego uwierzytelniania. Dowiesz się więcej na <a href='https://rublon.com/pl' target='_blank'>www.rublon.com/pl</a>."

"Error details: ","Szczegóły błędu:"
"Configuration error. Invalid secret key.","Błąd konfiguracji. Nieprawidłowy klucz poufny."
"cURL functions are not available, please install appropriate library.","Biblioteka cURL jest niedostępna, proszę zainstalować odpowiednią bibliotekę."
"Rublon server connection problem.","Problem z połączeniem do serwera Rublona"
"Rublon server error.","Błąd serwera Rublona."
"Rublon server error. Please try again in a moment.","Wystąpił błąd serwera Rublona. Proszę spróbować ponownie."
"Rublon server internal error. Received parameters are invalid. Please try again in a moment.","Wystąpił błąd serwera Rublona. Otrzymane parametry są nieprawidłowe. Proszę spróbować ponownie."
"Unknown action to perform.","Nieznana akcja do wykonania."
"User is not authorized by first factor (login and password).","Użytkownik nie jest autoryzowany przez pierwszy składnik (login i hasło)."
"Expected different user.","Oczekiwano innego użytkownika."
"Failed to authenticate user. Please try again.","Nie udało się uwierzytelnić użytkownika. Proszę spróbować ponownie."
"Issue notification has been sent to the Rublon support team.","Zgłoszenie problemu zostało wysłane do grupy wsparcia Rublona."
"Rublon activation failed: this version of the Rublon extension is already outdated. Please install the latest version.","Aktywacja rozszerzenia nie powiodła się: ta wersja rozszerzenia Rublon jest już nieaktualna. Zainstaluj najnowszą wersję."
